Membership No  Date Joined  Active  
    74912      2019-9-23    yes   
    47708      2015-9-2     no    
    50078      2020-7-1     no    
    87434      2020-2-8     yes   
    45714      2018-2-8     no    
    42352      2018-11-23   no    
    64753      2018-6-11    no    
    34250      2019-4-18    no    
    66272      2019-8-23    yes   
    18649      2018-11-2    yes   
    17390      2015-5-3     yes   
    34335      2017-1-17    yes   
    39942      2020-9-16    yes   
    23532      2016-2-2     no    
    22630      2017-3-12    yes   
    34282      2020-5-13    no    
    59427      2020-12-1    no    
    33533      2018-2-22    yes   
    86097      2015-8-22    yes   
    49483      2020-3-17    yes   
