Membership No  Date Joined  Active  
    24187      2017-3-15    yes   
    33035      2020-1-3     yes   
    48346      2019-5-15    no    
    18768      2017-6-7     yes   
    85383      2016-11-19   yes   
    78449      2015-11-6    no    
    45302      2015-3-20    yes   
    94452      2017-3-8     no    
    64364      2020-8-11    no    
    80636      2015-6-11    yes   
    69363      2015-3-23    no    
    19016      2020-8-12    yes   
    89012      2019-9-23    no    
    34816      2015-9-4     yes   
    74581      2016-8-1     no    
    97814      2016-6-14    no    
    24520      2020-10-12   no    
    18881      2016-6-3     yes   
    57654      2020-5-19    yes   
    79667      2015-1-10    no    
